code,name
USAT,Universidad Santo Toribio
TER, Terminal Terrestre
CSAT,Colegio Santo Toribio
HREG,Hospital Regional
UTP,Universidad Tecnologica
MALL,Mall Aventura
UGEL,Unidad Gestion Educativa
PRRQ,Parroquia Vianey
UNO,Hiperbodega Precio Uno
MSTR,Maestro
CERA,Hipermercado Ceramica
HSOL,Hospital Solidaridad
TUMB,Tumbas Reales
CSAND,Casa Andina
TJUL,Tia Julia
BCRP,Banco Central
MOD,Mercado Modelo
OLAN,Olano
CFART,Coffee Art
RPLY,Ripley
PLZA,Plazuela Elias Aguirre
SUNAT,Superintendencia
MRCDS,Hospital Las Mercedes
PRIMAX,Primax
EMTRF,Emtrafesa
SNJO, Colegio San Jose
MTRBA, Metro Balta
MTRGR,Metro Grau
MUSA,Las Musas
CONSL,Parroquia La Consolacion
COMI,Comisaria Campodonico
ALMZR,Hospital Almanzor
BOULV,Boulevard
CTDRL,Catedral
RP,Real Plaza
OP,Open Plaza
CIX,Aeropuerto
YRTQ,Paseo Yortuque
BROJ,Brasa Roja
JCKY,Residencial Jockey
SMR,Colegio Reina
PLZV,Plaza Virgen
MTRSE,Metro Santa Elena
RINC,Rincon del Pato
OBSTE,Colegio de las obstetras
GOB,Gorbieno Regional Lambayeque
PARQ,Parque El Rosario
MERCA,Mercado sol de oro
CARPI,Carpinteria metalica Calderon
SANTU,Santuario Nuestra senora de la paz
